CPU,RAM,DISK,HEALTH
17.6,89.6,72.0,80
29.7,90.6,72.0,80
22.3,90.1,72.0,80
46.5,90.9,72.0,80
20.2,90.1,72.0,80
48.7,90.7,72.0,80
23.4,90.2,72.0,80
35.8,91.0,72.0,80
23.1,89.7,72.0,80
16.7,89.2,72.1,80
43.1,88.9,72.1,80
31.2,89.2,72.1,80
30.0,90.8,72.1,80
41.6,90.6,72.1,80
36.0,90.8,72.1,80
35.9,91.2,72.1,80
45.8,91.6,72.1,80
38.6,92.2,72.1,80
67.6,89.0,72.1,80
40.1,89.1,72.1,80
45.6,89.1,72.1,80
31.5,88.8,72.1,80
45.7,87.1,72.1,80
61.9,91.7,72.1,80
26.1,92.2,72.1,80
42.1,92.1,72.1,80
38.5,92.1,72.1,80
31.5,90.2,72.1,80
57.1,89.2,72.1,80
72.3,87.9,72.2,80
32.2,86.0,72.2,80
55.0,84.7,72.2,73
55.1,84.8,72.2,73
60.5,84.9,72.2,73
60.6,84.4,72.2,73
63.6,84.4,72.2,73
48.6,84.6,72.2,80
49.8,86.9,72.2,80
50.3,86.4,72.2,73
50.0,85.6,72.2,73
48.9,85.3,72.2,80
58.0,85.5,72.2,73
48.8,85.4,72.2,80
50.2,85.5,72.2,73
52.4,85.6,72.2,73
49.8,85.6,72.2,80
51.5,84.6,72.2,73
35.5,89.1,72.2,80
51.0,88.4,72.2,73
52.4,88.5,72.2,73
65.5,88.0,72.2,73
70.6,88.6,72.2,66
35.4,89.8,72.2,80
61.7,90.1,72.2,66
73.5,88.7,72.2,66
100.0,89.1,72.2,60
51.2,84.1,72.2,73
56.3,84.2,72.2,73
59.4,84.1,72.2,73
49.5,84.0,72.2,80
45.8,86.8,72.2,80
49.8,86.2,72.2,80
27.1,89.9,72.2,80
51.4,89.9,72.2,73
83.2,90.9,72.2,60
86.2,91.6,72.2,53
78.9,92.3,72.2,60
71.4,92.4,72.2,60
71.8,91.4,72.2,60
52.3,92.0,72.2,66
61.6,92.2,72.2,66
99.7,94.6,72.6,53
100.0,93.6,72.7,53
66.3,92.1,72.7,66
58.1,92.5,72.7,66
74.1,92.6,72.7,60
36.0,90.7,72.7,73
42.5,90.0,72.7,73
43.7,90.5,72.7,73
45.4,90.7,72.7,73
78.5,88.6,72.7,66
64.8,89.3,72.7,73
65.3,88.3,72.7,73
52.3,88.5,72.7,73
60.7,88.7,72.7,73
70.8,88.2,72.7,66
57.7,86.1,72.7,73
64.2,86.2,72.7,73
61.6,86.3,72.7,73
59.1,85.8,72.7,73
47.2,86.3,72.7,80
59.8,93.2,72.7,66
90.3,92.8,72.7,53
62.0,93.9,73.4,66
57.4,93.6,73.4,66
50.2,93.8,73.4,66
